category,title,summary,importance,source,date,time,url,raw_sources
科技,At least 30 feared dead in crush at Haitian tourist site,"The incident occurred at a ""tourist event attended by many young people"", Haiti's prime minister says.",,BBC World,2026-04-12,07:22,https://www.bbc.com/news/articles/cwyj8d49wzxo?at_medium=RSS&at_campaign=rss,BBC World
商业,Peloton’s Latest Leader Thinks He Can Coach It Back to Health,"The fitness company has fallen to a small fraction of its value at its pandemic peak, but Peter Stern says Peloton is headed in the right direction.",,NYTimes Business,2026-04-12,09:00,https://www.nytimes.com/2026/04/12/business/peloton-peter-stern.html,NYTimes Business
科技,'We need real peace': Ukrainians have little faith in Easter truce,Easter festivities are muted in Kharkiv as Ukrainians expect fighting to flare up again after a weekend truce.,,BBC World,2026-04-12,09:38,https://www.bbc.com/news/articles/cj0vn30574no?at_medium=RSS&at_campaign=rss,BBC World
商业,"Overlooked No More: Margaret Gipsy Moth, Fearless CNN Camera Operator","She covered conflicts across the globe, joking after she was injured in Sarajevo that she would be returning to find her missing teeth.",,NYTimes Business,2026-04-12,13:37,https://www.nytimes.com/2026/04/11/obituaries/margaret-gipsy-moth-overlooked.html,NYTimes Business
商业,The ‘Annoyance Economy’ Is More Than Just Annoying,"A new estimate puts the cost of dealing with robocalls, hidden fees and customer service chatbots that can’t solve most problems at $165 billion.",,NYTimes Business,2026-04-12,14:15,https://www.nytimes.com/2026/04/12/business/annoyance-economy-costs.html,NYTimes Business
科技,Southwest Airlines Imposes Further Limits on Portable Chargers on Flights,"Starting on April 20, the airline will limit passengers to one lithium battery-powered portable charger per person.",,NYTimes Business,2026-04-12,16:59,https://www.nytimes.com/2026/04/11/travel/southwest-airlines-portable-chargers.html,NYTimes Business
科技,The Escalating Global A.I. Arms Race,"China, the U.S., Russia and others have ramped up their contest over artificial-intelligence-backed weapons and military systems. The buildup has been compared to the dawn of the nuclear weapons age.",,NYTimes Technology,2026-04-12,18:24,https://www.nytimes.com/2026/04/12/technology/china-russia-us-ai-weapons.html,NYTimes Technology
商业,Someone Has to Be Happy. Why Not Lauren Sánchez Bezos?,"As half of an unfathomably powerful couple, Mrs. Sánchez Bezos seems to have influenced the uber-rich to stop apologizing, and start enjoying themselves.",,NYTimes Business,2026-04-12,19:20,https://www.nytimes.com/2026/04/11/business/lauren-sanchez-bezos-jeff-bezos.html,NYTimes Business
商业,Christine Fréchette Is Chosen to Lead Coalition Avenir Québec,"Far behind in the polls, Quebec’s governing party chose Christine Fréchette to succeed François Legault and to lead it in a vote this fall.",,NYTimes Business,2026-04-12,21:58,https://www.nytimes.com/2026/04/12/world/americas/canada-quebec-premier-christine-frechette.html,NYTimes Business
科技,Trump's threat raises risks and leaves predicaments unchanged,The conflict is now a test of wills - Iran’s capacity to absorb strikes versus Trump’s tolerance for the war's costs.,,BBC World,2026-04-12,22:57,https://www.bbc.com/news/articles/c8dl5mly2rzo?at_medium=RSS&at_campaign=rss,BBC World
国际,On patrol with Canadian forces securing the Arctic as global threats grow,"Across 5,200 km of Canada's Arctic, its military spent two months on a mission to meet the challenges of a changing north.",,BBC World,2026-04-12,23:07,https://www.bbc.com/news/articles/cwyj8jjkl78o?at_medium=RSS&at_campaign=rss,BBC World
科技,Political turmoil in Indian border state as nine million lose voting rights,"Nine million voters have been dropped from rolls in West Bengal, raising concerns over exclusion and fairness.",,BBC World,2026-04-12,23:59,https://www.bbc.com/news/articles/cy51qg00dezo?at_medium=RSS&at_campaign=rss,BBC World
